,salary_section_enc
597,10.0
328,9.0
363,1.0
231,1.0
210,7.0
104,6.0
114,2.0
547,7.0
352,2.0
578,7.0
467,7.0
449,2.0
319,2.0
436,3.0
312,5.0
304,1.0
265,7.0
140,2.0
477,5.0
505,3.0
42,7.0
73,9.0
553,3.0
66,4.0
11,0.0
176,6.0
177,6.0
557,3.0
212,7.0
382,2.0
83,7.0
488,7.0
296,6.0
381,3.0
79,9.0
23,7.0
199,0.0
320,2.0
290,4.0
208,7.0
524,3.0
227,7.0
137,8.0
349,7.0
388,0.0
264,0.0
9,0.0
215,7.0
416,2.0
360,7.0
623,4.0
289,4.0
84,8.0
456,10.0
196,0.0
430,2.0
238,9.0
244,0.0
28,4.0
184,0.0
512,3.0
178,9.0
549,3.0
153,8.0
75,7.0
92,2.0
353,2.0
68,0.0
300,6.0
318,0.0
188,0.0
15,4.0
211,2.0
218,6.0
88,4.0
534,3.0
117,0.0
437,3.0
464,9.0
33,6.0
0,0.0
630,3.0
221,9.0
393,3.0
542,5.0
573,9.0
326,6.0
22,5.0
507,3.0
116,0.0
433,10.0
89,6.0
182,2.0
259,2.0
268,6.0
18,2.0
271,6.0
586,8.0
144,1.0
321,7.0
612,3.0
574,7.0
411,3.0
478,0.0
275,7.0
585,0.0
626,10.0
167,7.0
54,2.0
322,2.0
46,7.0
93,7.0
493,7.0
613,3.0
108,6.0
311,5.0
195,4.0
637,7.0
529,3.0
501,2.0
235,7.0
383,6.0
636,7.0
7,1.0
506,3.0
452,6.0
302,7.0
234,6.0
292,8.0
278,4.0
468,9.0
291,4.0
149,0.0
124,7.0
619,3.0
548,4.0
185,5.0
355,6.0
332,7.0
628,9.0
587,4.0
142,6.0
141,0.0
331,6.0
19,3.0
172,6.0
515,3.0
12,6.0
25,0.0
429,6.0
509,3.0
396,5.0
338,9.0
245,9.0
361,6.0
272,0.0
154,8.0
126,8.0
545,10.0
287,3.0
113,4.0
398,5.0
173,0.0
57,6.0
367,0.0
222,4.0
280,0.0
17,3.0
340,9.0
255,2.0
494,3.0
610,3.0
190,0.0
364,1.0
559,3.0
310,4.0
94,2.0
180,0.0
301,2.0
421,0.0
377,0.0
374,0.0
356,5.0
5,4.0
45,2.0
335,9.0
444,4.0
434,10.0
16,6.0
48,7.0
616,1.0
582,6.0
3,3.0
624,6.0
551,3.0
316,7.0
503,2.0
618,7.0
546,10.0
344,6.0
225,9.0
26,0.0
487,7.0
263,0.0
50,2.0
229,2.0
37,4.0
157,3.0
237,6.0
611,3.0
175,6.0
535,3.0
526,3.0
194,4.0
537,3.0
419,4.0
615,6.0
543,5.0
67,4.0
365,0.0
168,2.0
370,0.0
162,1.0
309,2.0
193,4.0
395,0.0
408,5.0
152,0.0
629,6.0
450,7.0
226,9.0
558,3.0
499,0.0
103,2.0
447,1.0
74,8.0
519,3.0
631,7.0
119,9.0
443,7.0
469,9.0
599,2.0
207,6.0
380,6.0
404,5.0
576,10.0
463,7.0
8,5.0
432,6.0
36,2.0
139,6.0
253,8.0
303,6.0
446,1.0
368,0.0
59,9.0
111,6.0
403,5.0
414,10.0
405,5.0
262,0.0
531,3.0
297,2.0
150,6.0
266,5.0
550,3.0
359,0.0
603,2.0
38,4.0
495,4.0
307,6.0
198,8.0
351,0.0
518,3.0
146,4.0
590,2.0
438,3.0
589,2.0
147,7.0
481,0.0
348,10.0
325,9.0
448,2.0
123,4.0
536,3.0
96,8.0
143,1.0
239,9.0
394,9.0
431,7.0
97,7.0
371,0.0
324,3.0
279,4.0
293,2.0
254,2.0
400,5.0
122,6.0
183,7.0
202,7.0
323,6.0
246,2.0
415,2.0
479,10.0
465,1.0
528,3.0
470,8.0
579,0.0
486,0.0
125,4.0
402,5.0
541,8.0
473,7.0
223,2.0
342,4.0
53,6.0
219,3.0
129,8.0
577,7.0
451,7.0
186,9.0
580,9.0
439,7.0
453,3.0
100,8.0
530,3.0
386,5.0
617,6.0
294,7.0
267,5.0
51,6.0
441,5.0
605,3.0
112,7.0
179,7.0
482,4.0
552,3.0
514,3.0
373,0.0
314,0.0
462,2.0
151,8.0
171,0.0
233,6.0
306,6.0
490,7.0
164,3.0
317,5.0
136,2.0
410,5.0
602,2.0
197,2.0
358,3.0
258,2.0
232,0.0
522,3.0
115,0.0
120,4.0
497,0.0
282,8.0
376,0.0
384,6.0
224,1.0
604,2.0
517,3.0
472,3.0
347,10.0
127,1.0
627,7.0
445,3.0
285,6.0
588,2.0
43,7.0
107,4.0
538,3.0
511,3.0
133,2.0
500,0.0
440,5.0
61,2.0
44,6.0
169,2.0
65,9.0
283,2.0
85,6.0
242,6.0
159,7.0
35,9.0
170,0.0
540,6.0
532,3.0
598,4.0
95,2.0
240,0.0
460,8.0
554,3.0
206,1.0
392,1.0
397,5.0
533,3.0
217,7.0
4,3.0
575,8.0
98,2.0
406,5.0
502,2.0
47,1.0
32,8.0
200,2.0
134,5.0
27,5.0
556,3.0
230,8.0
489,7.0
378,0.0
288,4.0
418,6.0
391,10.0
498,0.0
138,4.0
62,6.0
471,4.0
128,6.0
620,4.0
520,3.0
64,8.0
14,7.0
156,3.0
40,8.0
492,8.0
379,8.0
187,7.0
216,2.0
52,4.0
337,5.0
295,7.0
251,8.0
461,10.0
455,4.0
635,10.0
269,4.0
201,6.0
161,4.0
555,3.0
401,5.0
476,2.0
105,2.0
565,1.0
389,3.0
1,1.0
594,7.0
561,2.0
80,2.0
205,9.0
34,2.0
508,3.0
