,jobClassification,state,teaser,workType,min_salary,max_salary,isRightToWorkRequired,desktopAdTemplate,Python,SQL,R,Tableau,SAS,Matlab,Hadoop,Spark,Java,Scala,recruiter,state_encoded,salary_section,salary_section_enc
0,0,1,Fantastic organisation seeks experienced Insights Analyst to work on one of the most widely talked about digital products on the market!,2,90000,120000,0,"
  
    
    
      Insights Analyst – Online Video Streaming 
      Cutting Edge Data Tools
           
        Plenty of Employee Perks
           
        Enterprise Organisation
           
      The Company:A big brand with a reputation for leading the way with Big Data is looking for an Insights Analyst who is passionate about using the latest
        Data Analysis tools in the market to deliver business critical insights.This company is investing significantly into their digital media steaming capabilities, with a huge project environment and
        a push to be a market leader in this very competitive and fast-moving space to work in. Your analysis will play a key part in the strategic direction of this company’s flagship products and services! Hit the Apply for this job button
        now to get more information! The Role: Working with data sets generated from digital streaming behavior, your job will be to create unique insights that can be used by a range
        of teams to improve the product performance and UX.We are looking for a passionate Data Analyst with experience working in media / broadcasting or an enterprise environment on large data sets.
        This role will give you the freedom to utilise a range of technologies in order to deliver these insights.We are ideally seeking people with experience using advanced analytics tools and strong coding ability        using the R programming language.You will not only run deep dive analysis with a fresh approach but also produce visualisations to communicate your insights clearly to senior leaders. Essential Skills:+3 years working as an Insights Analyst, Data Analyst or Data Scientist.
          SQL
          Commercial coding experience - R programming language skills essential
          Data Visualisation – Tableau, Power BI etc
          Strong communication and presentation skills.
          Ideally a background in TV, Media, Online Streaming, Digital.
          Relevant Bachelor’s degree – Maths, Stats etc
         What’s in it for you:This is one of the busiest and most talked about organisations in the country right now. The project has a huge scope for the coming years! You'll be joining a large Agile team
        with a manager that believes in continual development. This team has excellent staff retention rates and the manager looks for people that want to grow with the company for years to come. They have a reputation for being a great place to work where you can benefit from exceptional career growth opportunities and internal promotion. With an awesome
        site, they have a gym, onsite restaurants, bars and cafes. This is a company that genuinely promotes flexibility and work/life balance, really
        valuing their employees. Hit the ‘Apply for this job’ button now to get more information or call Rebecca on +61 2 9993 1071. 
      Aurec Technology & Communications focuses on providing a highly specialised human capital sourcing service across Australia and Asia Pacific.  Visit our website www.aurec.com 
    
    
  
",0,1,1,0,0,0,0,0,0,0,1,1,"(100000.0, 110000.0]",0.0
1,1,1,This role requires an individual with strong credit risk modelling experience and has potential to move into a Data Scientist role. ,2,90000,110000,0,"
  
    
    
      Credit Risk Analyst 
      
         Responsibilities: 
        Design and development of scorecards and models across the credit life cycle (e.g. application, behaviour, fraud and collection scorecards) for the retail credit portfolio
          Review and update portfolio risk monitoring models and assist in the reporting of portfolio risk
          Contribute to the Financial Planning processes e.g. loss & IFRS9 compliant reserve forecasting, recovery forecasting, capacity planning etc.
          Development and monitoring of credit scoring, risk segmentation, predictive models and other modelling techniques to enhance credit decision making as well as optimize acquisition, collections and recovery activities
          Partner with Credit Risk and Collection Teams to support credit strategies through account level performance based analytics and requirements
          Design of appropriate champion/challenger tests as well as preparing policy options/changes/recommendations based on analytics and/or regulatory
         
        Requirements:
        Educated to a degree level in data science/quantitative disciplines such as statistics, finance, engineering, mathematics etc
          Strong experience in statistical model building is essential
          Strong working knowledge of SAS, R, SQL, Excel
         
        Sthree Australia is acting as an Employment Agency in relation to this vacancy.
      
       
    
    
  
",0,1,1,0,1,0,0,0,0,0,1,1,"(90000.0, 100000.0]",1.0
2,1,1,One of Australia's leading financial service providers is seeking a Data Scientist to join their expanding team of analytics professionals.,2,110000,120000,1,"
  
    
    Data Analytics Recruitment Solutions
    
      Data Scientist 
      Leading Financial Services Client 
        Delivering insights and recommendations around customers 
        Advanced analytics, data science, statistical analysis and modelling 
      
        One of Australia's leading financial service providers is seeking a Data Scientist to join their expanding team of analytics professionals.
        With solid experience within analytics & machine learning methodologies, you'll experience an exciting mix of creativity and innovation, within a framework of challenging analytics objectives and a passion for delivering the best.
        Reporting to the Senior Analytics Manager, you will be an Analytics expert possessing a wide knowledge of tools used in Data Science/Big Data for developing models and discovering information hidden within the vast amount of customer data.
        This is a key and pivotal hands on role within a data driven organisation. As such you will be given the opportunity to organically grow your career down either the technical route or a leadership function depending on your own ambitions and interests.
        Key Responsibilities: 
        Develop and implement predictive models and optimization algorithms that create business value
          Discover trends, patterns and stories told by the data and present them to stakeholders
          Leverage new open data sources and extract further value from existing company data
          Produce creative data visualizations and intuitive graphics to present complex analytics
          Leverage state-of-the-art data mining and machine learning tools and methodologies to drive improved business decisions
        Skills Required: 
        Tertiary Qualification in a quantitative discipline - mathematics, statistics, operation research
          Experience of working in a commercial analytics/data science environment.
          Advanced programming skills in Python/R/SQL/SAS will be looked at.
          Capable of managing multiple projects under pressure and meeting deadlines
          Ability to interact proactively with internal and external customers
          An inquisitive mind, passionate about deriving insights from data
        This opportunity will allow the successful applicant to build strong relationships with internal and external teams, playing an integral role influencing business strategies, delivering customer insights and knowledge through advanced machine
          learning modelling and data analysis. 
        Please apply on line or for more information, please contact Sophie Monaghan at Bluefin Resources on 02 9270 2603
      
       
    
    www.bluefinresources.com.au
  
",1,1,1,0,1,0,0,0,0,0,1,1,"(110000.0, 120000.0]",2.0
3,2,0,Postdoctoral researcher in molecular evolution & phylogenetics.,2,71509,90215,0,"
  
    
    
      Postdoctoral Fellow 
      
        
          Classification: Academic Level ASalary package: $71,509 - $90,215 per annum plus 17% superannuationTerm: Full time, Continuing (Contingent Funded)
          Position overview
          The ANU College of Science (COS) comprises: the Research School of Astronomy and Astrophysics, the Research School of Biology, the Research School of Chemistry, the Research School of Earth Science, the Fenner School of Environment and Society,
            the Mathematical Sciences Institute, the Research School of Physics and Engineering, and the Centre for the Public Awareness of Science.  Staff and students within the ANU College of Science conduct research and delivers a research-led
            education program that encompasses the entire breadth of the sciences, supported by extensive international networks and by world-class facilities.  The College has a strong tradition of research excellence that has fostered distinguished
            Nobel Laureates and Kyoto Prize winners and that trains scientific leaders in disciplines in which the ANU is consistently ranked in the top twenty in the world.
          The purpose of this position is to investigate why the rate of molecular evolution varies between species, identify consistent correlates of rate variation across lineages, and develop new molecular dating methods that can incorporate this information.
          We are looking for an enthusiastic and motivated scientist who can conduct both independent research and work as part of a collaborative team. Our ideal candidate would have a solid understanding of principles of molecular evolution; skills
            associated with analysis of DNA sequence data; and an ability to develop new analytical methods. Coding experience, particularly in Java, would be an advantage.
          The successful Researcher will work in the Macroevolution and Macroecology Group at the Australian National University (macroevoeco.com) under the supervision of Professor Lindell Bromham (tempoandmode.com) and Dr Xia Hua to work on a project
            funded by the Australian Research Council (Evolving Rates: Foundations For The Next Generation Of Molecular Clocks)
          This position is continuing contingent on external funding, the initial funding period is Two (2) years with the possibility of extension to up to four years. We are happy to consider flexible employment arrangements or splitting the position
            (e.g. making two concurrent short-term positions)
          For more information, please contact Professor Lindell Bromham, on Lindell.Bromham@anu.edu.au 
          Closing date: 6 March 2019
          Position description: Postdoctoral Fellow.pdf
          ANU values diversity and inclusion and is committed to providing equal employment opportunities to those of all backgrounds and identities. For more information about staff equity at ANU, visit https://services.anu.edu.au/human-resources/respect-inclusion
          The University actively encourages applications from Aboriginal and Torres Strait Islander people. 
          Application information
          In order to apply for this role please make sure that you upload the following documents:
          A covering letter outlining your research experience and interest in pursuing research in this area.
            A statement addressing the selection criteria.
            A current curriculum vitae (CV) which includes the names and contact details of at least three referees (preferably including a current or previous supervisor). If your CV does not include referees you can complete these online when prompted
              in the application form.
            Other documents, if required.
          Applications which do not address the selection criteria may not be considered for the position.
           
        
      
      Discover more anu.edu.au/jobs
    
  
",0,0,0,0,0,0,0,0,1,0,0,0,"(80000.0, 90000.0]",3.0
4,3,0,Postdoctoral researcher in molecular evolution & phylogenetics.,2,71509,90215,0,"
  
    
    
      Postdoctoral Fellow 
      
        
          Classification: Academic Level ASalary package: $71,509 - $90,215 per annum plus 17% superannuationTerm: Full time, Continuing (Contingent Funded)
          Position overview
          The ANU College of Science (COS) comprises: the Research School of Astronomy and Astrophysics, the Research School of Biology, the Research School of Chemistry, the Research School of Earth Science, the Fenner School of Environment and Society,
            the Mathematical Sciences Institute, the Research School of Physics and Engineering, and the Centre for the Public Awareness of Science.  Staff and students within the ANU College of Science conduct research and delivers a research-led
            education program that encompasses the entire breadth of the sciences, supported by extensive international networks and by world-class facilities.  The College has a strong tradition of research excellence that has fostered distinguished
            Nobel Laureates and Kyoto Prize winners and that trains scientific leaders in disciplines in which the ANU is consistently ranked in the top twenty in the world.
          The purpose of this position is to investigate why the rate of molecular evolution varies between species, identify consistent correlates of rate variation across lineages, and develop new molecular dating methods that can incorporate this information.
          We are looking for an enthusiastic and motivated scientist who can conduct both independent research and work as part of a collaborative team. Our ideal candidate would have a solid understanding of principles of molecular evolution; skills
            associated with analysis of DNA sequence data; and an ability to develop new analytical methods. Coding experience, particularly in Java, would be an advantage.
          The successful Researcher will work in the Macroevolution and Macroecology Group at the Australian National University (macroevoeco.com) under the supervision of Professor Lindell Bromham (tempoandmode.com) and Dr Xia Hua to work on a project
            funded by the Australian Research Council (Evolving Rates: Foundations For The Next Generation Of Molecular Clocks)
          This position is continuing contingent on external funding, the initial funding period is Two (2) years with the possibility of extension to up to four years. We are happy to consider flexible employment arrangements or splitting the position
            (e.g. making two concurrent short-term positions)
          For more information, please contact Professor Lindell Bromham, on Lindell.Bromham@anu.edu.au 
          Closing date: 6 March 2019
          Position description: Postdoctoral Fellow.pdf
          ANU values diversity and inclusion and is committed to providing equal employment opportunities to those of all backgrounds and identities. For more information about staff equity at ANU, visit https://services.anu.edu.au/human-resources/respect-inclusion
          The University actively encourages applications from Aboriginal and Torres Strait Islander people. 
          Application information
          In order to apply for this role please make sure that you upload the following documents:
          A covering letter outlining your research experience and interest in pursuing research in this area.
            A statement addressing the selection criteria.
            A current curriculum vitae (CV) which includes the names and contact details of at least three referees (preferably including a current or previous supervisor). If your CV does not include referees you can complete these online when prompted
              in the application form.
            Other documents, if required.
          Applications which do not address the selection criteria may not be considered for the position.
           
        
      
      Discover more anu.edu.au/jobs
    
  
",0,0,0,0,0,0,0,0,1,0,0,0,"(80000.0, 90000.0]",3.0
5,0,1,As a data scientist consultant you will be front and centre with clients helping them make the most of their data and business assets.,2,120000,159999,0,,1,1,1,0,1,0,1,0,1,0,1,1,"(130000.0, 140000.0]",4.0
6,1,1,One of Australia's leading financial service providers is seeking a Data Scientist to join their expanding team of analytics professionals.,2,110000,120000,1,"
  
    
    Data Analytics Recruitment Solutions
    
      Data Scientist 
      Leading Financial Services Client 
        Delivering insights and recommendations around customers 
        Advanced analytics, data science, statistical analysis and modelling 
      
        One of Australia's leading financial service providers is seeking a Data Scientist to join their expanding team of analytics professionals.
        With solid experience within analytics & machine learning methodologies, you'll experience an exciting mix of creativity and innovation, within a framework of challenging analytics objectives and a passion for delivering the best.
        Reporting to the Senior Analytics Manager, you will be an Analytics expert possessing a wide knowledge of tools used in Data Science/Big Data for developing models and discovering information hidden within the vast amount of customer data.
        This is a key and pivotal hands on role within a data driven organisation. As such you will be given the opportunity to organically grow your career down either the technical route or a leadership function depending on your own ambitions and interests.
        Key Responsibilities: 
        Develop and implement predictive models and optimization algorithms that create business value
          Discover trends, patterns and stories told by the data and present them to stakeholders
          Leverage new open data sources and extract further value from existing company data
          Produce creative data visualizations and intuitive graphics to present complex analytics
          Leverage state-of-the-art data mining and machine learning tools and methodologies to drive improved business decisions
        Skills Required: 
        Tertiary Qualification in a quantitative discipline - mathematics, statistics, operation research
          Experience of working in a commercial analytics/data science environment.
          Advanced programming skills in Python/R/SQL/SAS will be looked at.
          Capable of managing multiple projects under pressure and meeting deadlines
          Ability to interact proactively with internal and external customers
          An inquisitive mind, passionate about deriving insights from data
        This opportunity will allow the successful applicant to build strong relationships with internal and external teams, playing an integral role influencing business strategies, delivering customer insights and knowledge through advanced machine
          learning modelling and data analysis. 
        Please apply on line or for more information, please contact Sophie Monaghan at Bluefin Resources on 02 9270 2603
      
       
    
    www.bluefinresources.com.au
  
",1,1,1,0,1,0,0,0,0,0,1,1,"(110000.0, 120000.0]",2.0
7,0,1,This role is an excellent opportunity for an up and coming data scientist to apply their passion in a commercial environment.,2,95000,105000,0,"
  
    
    
      Data Scientist 
      Looking for an up and coming Data Scientist 
        Fast growing Tech organisation 
        Sydney, CBD 
      
        Role: Data Scientist
        Salary: $95-105k base
        Location: Sydney - R / Python SQL & Data Visualisation
        My client, a fast growing tech company based in Sydney, is looking for an up and coming Data Scientist to join their analytics team. In this team you will be exposed to a variety of data sets ranging from logistical analysis to
          signal processing. You will be required to be adaptable and have a keen interest in learning new techniques. You need to have a solid understanding of organisational challenges and be commercially aware to excel in this role.Responsibilities:
        Interpret data from disparate of sources, analyse results using statistical techniques.
          Deliver analytics using your mathematics and statistics background (Signal Processing, Logistical analytics)
          Develop statistical models to gain insights and provide information around trends and patterns
        Qualifications:
        Tertiary qualification in a Quantitative discipline (Economics, Statistics, Mathematics)
          Strong working knowledge with large data sets
          Statistical programming experience in Python/R and SQL
        To be part of a fast growing tech organisation in Sydney, working in a fast paced, dynamic, fun and friendly environment - with ambitious plans. Please apply immediately with an up to date CV.
        Or to hear more please get in touch (02) 8986 3139 or jpope@morganmckinley.com.au
        PYTHON / AWS / EXCEL / SQL / R / AZURE / INSIGHT / ANALYST / MODELLING / ANALYST
        Morgan McKinley is acting as an Employment Agency in relation to this vacancy.
      
       
    
    
  
",1,1,1,0,0,0,0,0,0,0,1,1,"(90000.0, 100000.0]",1.0
8,2,1,Research scientist role re development and in vitro and in vivo testing of antibody and protein therapeutics for the treatment of various cancers,2,60000,74999,0,,1,0,1,0,0,0,0,0,0,0,0,1,"(60000.0, 80000.0]",5.0
9,0,1,Take part in outstanding Big data projects with multiple high tier Enterprise clients. ,2,100000,110000,1,"
  
    
    
      
        Data Scientist 
        
          Permanent position
            Various Data Science Projects
            Open-source environment and knowledge sharing culture
             My client, a consulting company specialised in data driven marketing decisions, is currently looking for a Data Scientist with good knowledge of machine learning techniques and statistical modelling. As a Data Scientist in this
          company, you will help businesses to make better decisions using Data Science tools. You will work across a wide range of industries and will become a very adaptable professional. You will take part in outstanding Big data projects with multiple
          high tier Enterprise clients.   Job Responsibilities Take part in Big Data platform development
            Develop statistical models through Python or R which will help to understand the business
            Bring you added value to the business providing relevant recommendations
            RequirementsRelevant experience in Machine Learning technologies
            Business acumen and good communication skills
            Strong background in statistical modelling
            High level of proficiency with at least one programming language used in Data Science
            Experience working with large Enterprises
            Beneficial Understanding of media technology
             If you would like to hear more about this role, then don’t delay, get in touch with me today! Click on the APPLY button or call Katie Entwistle on: 02 8089 01 30
        Kathryn Entwistle+61 (0)2 8089 0130Kathryn.Entwistle.Daxtra@opusrs.com.au 
      
    
  
",1,0,1,0,0,0,0,0,0,0,1,1,"(100000.0, 110000.0]",0.0
